datetime,timestamp,cpu_cu,pixel_x
2026-02-02 01:34:19,1769992459,0.0235,31.657
2026-02-02 01:34:40,1769992480,0.0222,31.868
2026-02-02 01:35:00,1769992500,0.0222,32.078
2026-02-02 01:35:19,1769992519,0.0222,32.288
2026-02-02 01:35:39,1769992539,0.0223,32.498
2026-02-02 01:36:00,1769992560,0.0223,32.709
2026-02-02 01:36:20,1769992580,0.0223,32.919
2026-02-02 01:36:39,1769992599,0.0223,33.129
2026-02-02 01:37:00,1769992620,0.0222,33.34
2026-02-02 01:37:20,1769992640,0.0221,33.55
2026-02-02 01:37:39,1769992659,0.0217,33.76
2026-02-02 01:37:59,1769992679,0.0217,33.97
2026-02-02 01:38:20,1769992700,0.0217,34.181
2026-02-02 01:38:40,1769992720,0.0225,34.391
2026-02-02 01:38:59,1769992739,0.0225,34.601
2026-02-02 01:39:19,1769992759,0.0225,34.811
2026-02-02 01:39:40,1769992780,0.0225,35.022
2026-02-02 01:40:00,1769992800,0.0225,35.232
2026-02-02 01:40:19,1769992819,0.0225,35.442
2026-02-02 01:40:39,1769992839,0.0232,35.652
2026-02-02 01:41:00,1769992860,0.0235,35.863
2026-02-02 01:41:20,1769992880,0.0238,36.073
2026-02-02 01:41:39,1769992899,0.0245,36.283
2026-02-02 01:42:00,1769992920,0.0245,36.494
2026-02-02 01:42:20,1769992940,0.0245,36.704
2026-02-02 01:42:39,1769992959,0.0235,36.914
2026-02-02 01:42:59,1769992979,0.0235,37.124
2026-02-02 01:43:20,1769993000,0.0235,37.335
2026-02-02 01:43:40,1769993020,0.0255,37.545
2026-02-02 01:43:59,1769993039,0.0255,37.755
2026-02-02 01:44:19,1769993059,0.0255,37.965
2026-02-02 01:44:40,1769993080,0.0235,38.176
2026-02-02 01:45:00,1769993100,0.0235,38.386
2026-02-02 01:45:19,1769993119,0.0235,38.596
2026-02-02 01:45:39,1769993139,0.0245,38.806
2026-02-02 01:46:00,1769993160,0.0245,39.017
2026-02-02 01:46:20,1769993180,0.0245,39.227
2026-02-02 01:46:39,1769993199,0.0244,39.437
2026-02-02 01:46:59,1769993219,0.0242,39.647
2026-02-02 01:47:20,1769993240,0.0239,39.858
2026-02-02 01:47:39,1769993259,0.0231,40.068
2026-02-02 01:47:59,1769993279,0.0228,40.278
2026-02-02 01:48:20,1769993300,0.0226,40.489
2026-02-02 01:48:40,1769993320,0.0226,40.699
2026-02-02 01:48:59,1769993339,0.0225,40.909
2026-02-02 01:49:19,1769993359,0.0224,41.119
2026-02-02 01:49:40,1769993380,0.022,41.33
2026-02-02 01:50:00,1769993400,0.022,41.54
2026-02-02 01:50:19,1769993419,0.022,41.75
2026-02-02 01:50:39,1769993439,0.0232,41.96
2026-02-02 01:51:00,1769993460,0.0232,42.171
2026-02-02 01:51:20,1769993480,0.0232,42.381
2026-02-02 01:51:39,1769993499,0.0225,42.591
2026-02-02 01:51:59,1769993519,0.0225,42.801
2026-02-02 01:52:20,1769993540,0.0225,43.012
2026-02-02 01:52:39,1769993559,0.0225,43.222
2026-02-02 01:52:59,1769993579,0.0225,43.432
2026-02-02 01:53:20,1769993600,0.0225,43.643
2026-02-02 01:53:40,1769993620,0.023,43.853
2026-02-02 01:53:59,1769993639,0.023,44.063
2026-02-02 01:54:19,1769993659,0.023,44.273
2026-02-02 01:54:40,1769993680,0.0222,44.484
2026-02-02 01:55:00,1769993700,0.0222,44.694
2026-02-02 01:55:19,1769993719,0.0222,44.904
2026-02-02 01:55:39,1769993739,0.0227,45.114
2026-02-02 01:56:00,1769993760,0.0227,45.325
2026-02-02 01:56:20,1769993780,0.0227,45.535
2026-02-02 01:56:39,1769993799,0.0227,45.745
2026-02-02 01:56:59,1769993819,0.0227,45.955
2026-02-02 01:57:20,1769993840,0.0227,46.166
2026-02-02 01:57:39,1769993859,0.0222,46.376
2026-02-02 01:57:59,1769993879,0.0222,46.586
2026-02-02 01:58:20,1769993900,0.0222,46.797
2026-02-02 01:58:40,1769993920,0.0223,47.007
2026-02-02 01:58:59,1769993939,0.0225,47.217
2026-02-02 01:59:19,1769993959,0.0227,47.427
2026-02-02 01:59:40,1769993980,0.0233,47.638
2026-02-02 02:00:00,1769994000,0.0233,47.848
2026-02-02 02:00:19,1769994019,0.0233,48.058
2026-02-02 02:00:39,1769994039,0.0233,48.268
2026-02-02 02:01:00,1769994060,0.0233,48.479
2026-02-02 02:01:20,1769994080,0.0233,48.689
2026-02-02 02:01:39,1769994099,0.023,48.899
2026-02-02 02:01:59,1769994119,0.023,49.109
2026-02-02 02:02:20,1769994140,0.023,49.32
2026-02-02 02:02:40,1769994160,0.0232,49.53
2026-02-02 02:02:59,1769994179,0.0232,49.74
2026-02-02 02:03:20,1769994200,0.0232,49.951
2026-02-02 02:03:40,1769994220,0.0222,50.161
2026-02-02 02:03:59,1769994239,0.0222,50.371
