datetime,timestamp,inserted,updated,deleted,pixel_x
2026-02-02 01:00:00,1769990400,4.0,14.0,0,20.0
2026-02-02 01:00:19,1769990419,2.0,10.67,0,20.284
2026-02-02 01:00:40,1769990440,0,7.33,0,20.569
2026-02-02 01:00:59,1769990459,0,5.0,0,20.853
2026-02-02 01:01:20,1769990480,0,2.67,0,21.138
2026-02-02 01:01:39,1769990499,0,0,0,21.422
2026-02-02 01:02:00,1769990520,0,0,0,21.707
2026-02-02 01:02:19,1769990539,0,0,0,21.991
2026-02-02 01:02:40,1769990560,0,0,0,22.276
2026-02-02 01:02:59,1769990579,0,0,0,22.56
2026-02-02 01:03:20,1769990600,0,0,0,22.845
2026-02-02 01:03:39,1769990619,0,0,0,23.129
2026-02-02 01:04:00,1769990640,0,0,0,23.414
2026-02-02 01:04:19,1769990659,0,0,0,23.698
2026-02-02 01:04:40,1769990680,0,0,0,23.983
2026-02-02 01:04:59,1769990699,0,0,0,24.267
2026-02-02 01:05:20,1769990720,0,0,0,24.552
2026-02-02 01:05:39,1769990739,0,0,0,24.836
2026-02-02 01:06:00,1769990760,0,0,0,25.121
2026-02-02 01:06:19,1769990779,0,0,0,25.405
2026-02-02 01:06:40,1769990800,0,0,0,25.69
2026-02-02 01:06:59,1769990819,0,0,0,25.974
2026-02-02 01:07:20,1769990840,0,0,0,26.259
2026-02-02 01:07:40,1769990860,0,0,0,26.543
2026-02-02 01:07:59,1769990879,0,0,0,26.827
2026-02-02 01:08:20,1769990900,0,0,0,27.112
2026-02-02 01:08:39,1769990919,0,0,0,27.396
2026-02-02 01:09:00,1769990940,0,0,0,27.681
2026-02-02 01:09:19,1769990959,0,0,0,27.965
2026-02-02 01:09:40,1769990980,0,0,0,28.25
2026-02-02 01:09:59,1769990999,0,0,0,28.534
2026-02-02 01:10:20,1769991020,0,0,0,28.819
2026-02-02 01:10:39,1769991039,0,6.0,0,29.103
2026-02-02 01:11:00,1769991060,0,6.0,0,29.388
2026-02-02 01:11:19,1769991079,0,6.0,0,29.672
2026-02-02 01:11:40,1769991100,0,0,0,29.957
2026-02-02 01:11:59,1769991119,0,0,0,30.241
2026-02-02 01:12:20,1769991140,0,0,0,30.526
2026-02-02 01:12:39,1769991159,0,0,0,30.81
2026-02-02 01:13:00,1769991180,0,0,0,31.095
2026-02-02 01:13:19,1769991199,0,0,0,31.379
2026-02-02 01:13:40,1769991220,0,0,0,31.664
2026-02-02 01:13:59,1769991239,0,0,0,31.948
2026-02-02 01:14:20,1769991260,0,0,0,32.233
2026-02-02 01:14:39,1769991279,0,0,0,32.517
2026-02-02 01:14:59,1769991299,0,0,0,32.801
2026-02-02 01:15:20,1769991320,0,0,0,33.086
2026-02-02 01:15:39,1769991339,0,0,0,33.37
2026-02-02 01:16:00,1769991360,0,0,0,33.655
2026-02-02 01:16:19,1769991379,0,0,0,33.939
2026-02-02 01:16:40,1769991400,0,0,0,34.224
2026-02-02 01:16:59,1769991419,0,0,0,34.508
2026-02-02 01:17:20,1769991440,0,0,0,34.793
2026-02-02 01:17:39,1769991459,0,0,0,35.077
2026-02-02 01:18:00,1769991480,0,0,0,35.362
2026-02-02 01:18:19,1769991499,0,0,0,35.646
2026-02-02 01:18:40,1769991520,0,0,0,35.931
2026-02-02 01:18:59,1769991539,0,0,0,36.215
2026-02-02 01:19:20,1769991560,0,0,0,36.5
2026-02-02 01:19:39,1769991579,0,0,0,36.784
2026-02-02 01:20:00,1769991600,0,0,0,37.069
2026-02-02 01:20:19,1769991619,0,0,0,37.353
2026-02-02 01:20:40,1769991640,0,3.0,0,37.638
2026-02-02 01:20:59,1769991659,0,3.0,0,37.922
2026-02-02 01:21:20,1769991680,0,3.0,0,38.207
2026-02-02 01:21:39,1769991699,0,0,0,38.491
2026-02-02 01:22:00,1769991720,0,0,0,38.776
2026-02-02 01:22:20,1769991740,0,0,0,39.06
2026-02-02 01:22:39,1769991759,0,0,0,39.344
2026-02-02 01:23:00,1769991780,0,0,0,39.629
2026-02-02 01:23:19,1769991799,0,0,0,39.913
